

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
480.256  000.444  000.444: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/netrwPlugin.vim
480.631  000.240  000.240: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/nvim.lua
480.903  000.194  000.194: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/rplugin.vim
481.143  000.112  000.112: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/shada.vim
481.267  000.047  000.047: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/spellfile.vim
484.443  001.547  001.547: require('cmp_luasnip')
484.509  002.228  000.681: sourcing /home/kenj/.local/share/nvim/lazy/cmp_luasnip/after/plugin/cmp_luasnip.lua
486.424  000.763  000.763: require('cmp_path')
486.563  001.290  000.527: sourcing /home/kenj/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
489.704  000.345  000.345: require('cmp_buffer.timer')
489.710  000.828  000.483: require('cmp_buffer.buffer')
489.714  001.220  000.392: require('cmp_buffer.source')
489.716  001.990  000.771: require('cmp_buffer')
489.742  002.439  000.449: sourcing /home/kenj/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
491.884  000.338  000.338: require('cmp_nvim_lsp.source')
491.888  000.999  000.661: require('cmp_nvim_lsp')
491.922  001.410  000.411: sourcing /home/kenj/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
493.756  000.656  000.656: require('cmp_emoji')
493.782  001.043  000.388: sourcing /home/kenj/.local/share/nvim/lazy/cmp-emoji/after/plugin/cmp_emoji.lua
496.124  000.808  000.808: require('cmp_cmdline')
496.174  001.240  000.432: sourcing /home/kenj/.local/share/nvim/lazy/cmp-cmdline/after/plugin/cmp_cmdline.lua
496.275  479.105  070.222: require('config.lazy')
496.278  482.765  003.554: sourcing /home/kenj/.config/nvim/init.lua
496.294  002.114: sourcing vimrc file(s)
500.658  003.777  003.777: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/filetype.lua
504.424  000.168  000.168: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/syntax/synload.vim
504.616  003.500  003.332: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/syntax/syntax.vim
504.637  001.066: inits 3
513.039  008.402: reading ShaDa
513.449  000.410: opening buffers
514.145  000.672  000.672: require('bufferline.state')
518.032  003.912: BufEnter autocommands
518.040  000.008: editing files in windows
520.452  001.563  001.563: sourcing /home/kenj/.local/share/nvim/lazy/dashboard-nvim/plugin/dashboard.lua
523.396  000.481  000.481: require('dashboard.utils')
523.405  002.708  002.227: require('dashboard')
537.849  000.433  000.433: require('persistence.config')
537.859  002.170  001.736: require('persistence')
547.036  000.366  000.366: require('nvim-treesitter.compat')
550.905  003.028  003.028: require('nvim-treesitter.parsers')
551.563  000.651  000.651: require('nvim-treesitter.utils')
551.576  004.139  000.461: require('nvim-treesitter.ts_utils')
551.600  004.556  000.417: require('nvim-treesitter.tsrange')
552.117  000.514  000.514: require('nvim-treesitter.caching')
552.160  005.969  000.533: require('nvim-treesitter.query')
552.207  006.924  000.955: require('nvim-treesitter.configs')
552.210  008.590  001.666: require('nvim-treesitter-textobjects')
553.917  000.621  000.621: require('nvim-treesitter.info')
555.020  001.098  001.098: require('nvim-treesitter.shell_command_selectors')
555.112  002.471  000.752: require('nvim-treesitter.install')
555.619  000.503  000.503: require('nvim-treesitter.statusline')
555.623  003.411  000.437: require('nvim-treesitter')
557.169  000.640  000.640: require('nvim-treesitter.textobjects.shared')
557.184  001.542  000.902: require('nvim-treesitter.textobjects.select')
558.110  000.432  000.432: require('nvim-treesitter.textobjects.attach')
558.640  000.527  000.527: require('nvim-treesitter.textobjects.repeatable_move')
558.657  001.428  000.470: require('nvim-treesitter.textobjects.move')
559.293  000.422  000.422: require('nvim-treesitter.textobjects.swap')
559.846  000.449  000.449: require('nvim-treesitter.textobjects.lsp_interop')
559.875  016.712  000.870: sourcing /home/kenj/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
561.429  001.367  001.367: sourcing /home/kenj/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
569.080  000.541  000.541: require('nvim-treesitter.highlight')
571.407  000.704  000.704: require('nvim-treesitter.locals')
571.428  001.379  000.675: require('nvim-treesitter.incremental_selection')
573.242  000.637  000.637: require('nvim-treesitter.indent')
578.945  000.458  000.458: require('nvim-ts-autotag._log')
579.365  000.414  000.414: require('nvim-ts-autotag.utils')
579.409  001.604  000.733: require('nvim-ts-autotag.internal')
579.414  004.337  002.732: require('nvim-ts-autotag')
579.500  004.831  000.495: sourcing /home/kenj/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
582.540  002.701  002.701: require('mini.indentscope')
588.565  000.945  000.945: require('mason-core.path')
592.426  003.337  003.337: require('mason-core.functional')
594.581  001.648  001.648: require('mason-core.functional.data')
594.597  002.139  000.490: require('mason-core.functional.function')
595.039  000.409  000.409: require('mason-core.functional.relation')
595.472  000.414  000.414: require('mason-core.functional.logic')
595.503  006.931  000.631: require('mason-core.platform')
596.513  001.008  001.008: require('mason.settings')
596.517  012.646  003.762: require('mason')
599.047  000.945  000.945: require('mason-core.functional.list')
599.739  000.675  000.675: require('mason-core.functional.string')
599.818  003.101  001.481: require('mason.api.command')
601.259  001.410  001.410: require('mason-registry.sources')
603.273  000.775  000.775: require('mason-core.log')
603.289  001.402  000.627: require('mason-core.EventEmitter')
603.903  000.611  000.611: require('mason-core.optional')
605.701  001.218  001.218: require('mason-core.async')
606.189  000.473  000.473: require('mason-core.async.uv')
606.225  002.319  000.628: require('mason-core.fs')
606.319  005.029  000.697: require('mason-registry')
607.895  000.904  000.904: require('mason-core.result')
611.014  001.043  001.043: require('mason-core.process')
611.935  000.916  000.916: require('mason-core.spawn')
611.986  003.465  001.507: require('mason-core.managers.powershell')
612.574  000.586  000.586: require('mason.version')
612.580  004.680  000.628: require('mason-core.fetch')
613.562  000.980  000.980: require('mason-core.providers')
617.491  000.503  000.503: require('mason-core.functional.table')
617.569  002.426  001.924: require('mason-core.purl')
617.592  003.533  001.107: require('mason-core.package')
619.524  000.396  000.396: require('mason-core.installer.registry.expr')
